Epoch,loss,mse,val_loss,val_mse
0,0.28627,0.03721,0.29871,0.03438
1,0.17545,0.00879,0.19178,0.01354
2,0.16175,0.00702,0.1675,0.0088
3,0.15637,0.00624,0.15621,0.00702
4,0.15186,0.00535,0.14957,0.00507
5,0.14942,0.00482,0.14752,0.00464
6,0.14575,0.00396,0.14515,0.00396
7,0.14322,0.00338,0.14313,0.00362
8,0.14135,0.00294,0.14015,0.00293
9,0.13993,0.0026,0.13936,0.00271
10,0.13847,0.00224,0.13865,0.00249
11,0.13766,0.00207,0.13809,0.00239
12,0.1368,0.00188,0.13772,0.00229
13,0.13629,0.00177,0.13718,0.00218
14,0.13566,0.00164,0.13643,0.00199
15,0.13738,0.00214,0.25764,0.03276
16,0.14954,0.00529,0.14756,0.00471
17,0.14172,0.00316,0.14119,0.0031
18,0.13808,0.00224,0.13787,0.00235
19,0.13605,0.00175,0.13658,0.00202
20,0.1357,0.00169,0.15595,0.00553
21,0.13746,0.00214,0.13711,0.00215
22,0.13516,0.00156,0.13613,0.00191
23,0.13414,0.00133,0.13522,0.0017
24,0.13364,0.00123,0.1349,0.00164
25,0.13341,0.00119,0.1347,0.0016
26,0.13297,0.00109,0.13434,0.00153
27,0.13288,0.00107,0.13455,0.00156
28,0.13285,0.00108,0.13445,0.00154
29,0.1326,0.00102,0.13395,0.00144
30,0.13234,0.00097,0.13422,0.00151
31,0.13202,0.00091,0.1335,0.00133
32,0.13186,0.00088,0.13371,0.00138
33,0.13179,0.00087,0.13351,0.00135
34,0.13161,0.00084,0.13416,0.00145
35,0.13166,0.00085,0.13378,0.0014
36,0.13145,0.00081,0.13336,0.00131
37,0.13145,0.00082,0.13349,0.00136
38,0.13135,0.0008,0.13322,0.00127
39,0.13111,0.00074,0.13315,0.00125
40,0.13097,0.00072,0.13322,0.00127
41,0.13069,0.00067,0.13292,0.00122
42,0.13086,0.0007,0.13321,0.00125
43,0.13071,0.00068,0.13328,0.00129
44,0.13062,0.00066,0.13375,0.00131
45,0.13073,0.00069,0.13296,0.00121
46,0.13074,0.00069,0.13301,0.0012
47,0.13069,0.00068,0.13276,0.00116
48,0.13049,0.00064,0.1329,0.00121
49,0.13048,0.00065,0.13323,0.00121
50,0.13034,0.00061,0.13262,0.00112
51,0.13009,0.00056,0.13255,0.0011
52,0.13005,0.00056,0.13236,0.00107
53,0.12999,0.00055,0.13247,0.00109
54,0.14745,0.00476,0.14569,0.00453
55,0.13838,0.00241,0.13718,0.00223
56,0.13437,0.00146,0.13492,0.00166
57,0.1325,0.00106,0.13436,0.00148
58,0.13161,0.00088,0.13381,0.00136
59,0.13109,0.00077,0.13303,0.00121
60,0.13071,0.00069,0.13315,0.00119
61,0.13053,0.00065,0.13351,0.00126
62,0.13039,0.00063,0.13321,0.00118
63,0.13011,0.00058,0.13259,0.00108
64,0.12997,0.00055,0.13233,0.00103
65,0.13003,0.00056,0.13247,0.00106
66,0.12983,0.00052,0.13253,0.00103
67,0.12977,0.00051,0.13292,0.00114
68,0.13438,0.0015,0.13935,0.00277
69,0.13206,0.00098,0.13351,0.00127
70,0.13039,0.00064,0.1324,0.00105
71,0.13008,0.00057,0.13248,0.00104
72,0.12981,0.00052,0.13254,0.00102
73,0.12957,0.00047,0.13257,0.001
74,0.1294,0.00043,0.13228,0.00095
75,0.12943,0.00044,0.13235,0.00099
76,0.12937,0.00043,0.13308,0.00109
77,0.12928,0.00041,0.13236,0.00095
78,0.12922,0.0004,0.1324,0.00096
79,0.12918,0.00039,0.13203,0.00092
80,0.12918,0.00039,0.13231,0.00095
81,0.12914,0.00039,0.13266,0.00098
82,0.1292,0.0004,0.13222,0.00095
83,0.12923,0.00041,0.13283,0.00102
84,0.12917,0.00039,0.13228,0.00095
85,0.12903,0.00037,0.13268,0.00098
86,0.12904,0.00037,0.13197,0.00094
87,0.13294,0.00137,0.1455,0.00427
88,0.13481,0.00159,0.13468,0.00158
89,0.13086,0.00074,0.13318,0.00114
90,0.12986,0.00053,0.13245,0.001
91,0.12943,0.00045,0.13281,0.00099
92,0.12931,0.00042,0.13253,0.00096
93,0.12911,0.00038,0.13238,0.00093
94,0.12904,0.00037,0.13207,0.0009
95,0.12897,0.00035,0.13251,0.00092
96,0.12892,0.00034,0.1325,0.0009
97,0.12886,0.00033,0.13232,0.00087
98,0.12919,0.0004,0.13344,0.00127
99,0.12917,0.0004,0.13243,0.0009
100,0.12884,0.00033,0.13254,0.0009
101,0.12874,0.00031,0.13202,0.00085
102,0.12874,0.00031,0.13198,0.00085
103,0.12867,0.00029,0.13221,0.00086
104,0.12864,0.00029,0.13202,0.00084
105,0.12862,0.00028,0.13199,0.00085
106,0.12867,0.00029,0.13213,0.00088
107,0.12875,0.00031,0.13218,0.00088
108,0.1287,0.0003,0.132,0.00087
109,0.12866,0.00029,0.13212,0.00085
110,0.1286,0.00028,0.13238,0.00089
111,0.12858,0.00028,0.13236,0.00083
112,0.12863,0.00029,0.13233,0.00084
113,0.1286,0.00028,0.13257,0.00088
114,0.12867,0.0003,0.13234,0.00085
115,0.12868,0.0003,0.13243,0.00085
116,0.1287,0.0003,0.13296,0.00091
